Name,Style,Brewery,ABV,rating,minIBU,maxIBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Serenity,Brett Beer,Wicked Weed Brewing,5.4,4.08,0,0,21,36,14,8,38,112,0,69,20,1,22
Nightmare On Brett,Brett Beer,Crooked Stave Artisan Beer Project,9.66,4.39,0,0,37,48,55,17,65,163,0,83,4,7,55
The Tide And Its Takers,Brett Beer,Anchorage Brewing Company,9,4.18,0,0,11,35,25,20,63,107,1,84,28,16,24
Enjoy After Brett IPA,Brett Beer,Stone Brewing,7,3.89,0,0,35,36,5,38,49,85,3,63,58,15,21
Wheat Is The New Hops,Brett Beer,Mikkeller ApS,6,3.97,0,0,18,24,4,57,34,86,0,73,75,6,37
Femme Fatale Brett,Brett Beer,Evil Twin Brewing,6,3.95,0,0,40,46,7,79,39,143,1,122,111,9,19
Golden Brett,Brett Beer,Allagash Brewing Company,7.2,4.14,0,0,53,44,21,28,87,178,1,135,46,18,40
Little Brett,Brett Beer,Allagash Brewing Company,4.8,3.93,0,0,26,24,8,46,69,113,3,89,72,10,19
Defenestration,Brett Beer,Russian River Brewing Company,6.5,3.91,0,0,34,33,12,44,38,44,2,51,76,32,23
Femme Fatale Yuzu Pale,Brett Beer,Evil Twin Brewing,6,4.11,0,0,35,41,10,55,73,220,3,207,74,17,36
St. Bretta (Spring),Brett Beer,Crooked Stave Artisan Beer Project,5.5,4.14,0,0,53,36,8,16,35,229,3,126,22,12,45
Escoffier Bretta Ale,Brett Beer,Brewery Vivant,9.25,3.91,0,0,30,38,24,10,104,154,0,106,26,12,33
Femme Fatale Blanc,Brett Beer,Evil Twin Brewing,6,4.05,0,0,28,40,10,55,77,112,1,123,79,16,28
Femme Fatale Noir,Brett Beer,Evil Twin Brewing,6,3.91,0,0,39,69,15,127,49,95,0,66,133,14,76
Femme Fatale Sudachi,Brett Beer,Evil Twin Brewing,6,3.88,0,0,38,35,13,61,61,193,5,165,83,10,32
Nightmare On Brett Raspberry,Brett Beer,Crooked Stave Artisan Beer Project,9.66,4.44,0,0,45,47,40,5,120,121,0,103,3,8,34
Femme Fatale Kabosu,Brett Beer,Evil Twin Brewing,6,3.77,0,0,25,27,12,50,47,168,3,130,65,13,18
Apricot De Brettaville,Brett Beer,Almanac Beer Co.,6.5,4.11,0,0,36,29,4,15,122,144,0,153,15,10,7
Nightmare On Brett - Cherry,Brett Beer,Crooked Stave Artisan Beer Project,9.66,4.34,0,0,19,35,15,12,27,57,0,45,6,6,34
Waymaker Brett IPA,Brett Beer,Kent Falls Brewing Company,5.6,3.91,0,0,25,29,11,56,46,117,1,81,71,9,24
St. Bretta Citrus Saison,Brett Beer,Crooked Stave Artisan Beer Project,5.8,3.92,0,0,53,42,6,34,57,203,9,161,66,38,48
